"Method","Name","Error","Occurrences"
"GET","Search keyword","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?utf8=%E2%9C%93&q=los+angeles&search_field=all_fields (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9ea0857ba8>: Failed to establish a new connection: [Errno 110] Connection timed out',))",9
"GET","Search keyword","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?q=piano&search_field=all_fields (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9ea08f4b00>: Failed to establish a new connection: [Errno 24] Too many open files',))",16
"GET","Search keyword","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?utf8=%E2%9C%93&q=los+angeles&search_field=all_fields (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9e880e7588>: Failed to establish a new connection: [Errno 24] Too many open files',))",7
"GET","View Record","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog/mt2w6200zz-89112 (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9e889ba2b0>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",209
"GET","Browse Facets","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?f%5Blocation_sim%5D%5B%5D=California (Caused by SSLError(OSError(24, 'Too many open files'),))",58
"GET","/about","('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",15
"GET","Collection Page","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?f%5Bmember_of_collections_ssim%5D%5B%5D=Bennett+%28Walter+E.%29+Photographic+Collection%2C+1937-1983+%28bulk+1952-1982%29 (Caused by SSLError(OSError(24, 'Too many open files'),))",42
"GET","Collection Page","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?f%5Bmember_of_collections_ssim%5D%5B%5D=Collection+of+California+Postcards (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9e88c9c048>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",146
"GET","Browse Facets","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?utf8=%E2%9C%93&search_field=dummy_range&range%5Byear_isim%5D%5Bbegin%5D=1960&range%5Byear_isim%5D%5Bend%5D=2007&commit=Limit (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9ea0ccc5c0>: Failed to establish a new connection: [Errno 24] Too many open files',))",12
"GET","View Record","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog/gsqg5200zz-89112 (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9e884f7438>: Failed to establish a new connection: [Errno 24] Too many open files',))",7
"GET","View Record","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog/24wg5200zz-89112 (Caused by SSLError(OSError(24, 'Too many open files'),))",47
"GET","Browse Facets","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?utf8=%E2%9C%93&search_field=dummy_range&range%5Byear_isim%5D%5Bbegin%5D=1960&range%5Byear_isim%5D%5Bend%5D=2007&commit=Limit (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9e88489048>: Failed to establish a new connection: [Errno 24] Too many open files',))",7
"GET","Collection Page","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?f%5Bmember_of_collections_ssim%5D%5B%5D=Bennett+%28Walter+E.%29+Photographic+Collection%2C+1937-1983+%28bulk+1952-1982%29 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9ea08646a0>: Failed to establish a new connection: [Errno 110] Connection timed out',))",6
"GET","Search keyword","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?q=piano&search_field=all_fields (Caused by SSLError(OSError(24, 'Too many open files'),))",44
"GET","/about","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /about (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9e89657cc0>: Failed to establish a new connection: [Errno 24] Too many open files',))",37
"GET","Browse Facets","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?f%5Blocation_sim%5D%5B%5D=California (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9e88803780>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",156
"GET","View Record","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog/mt2w6200zz-89112 (Caused by SSLError(OSError(24, 'Too many open files'),))",65
"GET","Collection Page","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response',))",16
